,station_name,image_of_station,transport_connection,services,distance_from_sX_km,distance_from_sX_mi,zone,date_opened,suburb,notes
78,Glen Waverley,//upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Xtrapolis_arrived_at_Glen_Waverley_Railway_Station.jpg/100px-Xtrapolis_arrived_at_Glen_Waverley_Railway_Station.jpg,['bus'],22.23,13.81,2[107],5 May 1930,Glen Waverley[107],,
79,Glenbervie,//upload.wikimedia.org/wikipedia/commons/thumb/1/19/Glenbervie_station_platforms.jpg/100px-Glenbervie_station_platforms.jpg,[],Craigieburn,9.13,5.67,1,11 September 1922,Essendon,
80,Glenferrie,//upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Glenferrie_Eastbound_View.JPG/100px-Glenferrie_Eastbound_View.JPG,['tram'],AlameinBelgraveLilydale,8.12,5.05,1,3 April 1882,Hawthorn,Formerly Glenferrie Road
81,Glenroy,//upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Glenroy_Northbound_View.jpg/100px-Glenroy_Northbound_View.jpg,['bus'],Craigieburn,14.40,8.95,"['1', '2\n']",24 January 1887,Glenroy,Rebuilt in 2022
82,Gowrie,//upload.wikimedia.org/wikipedia/commons/thumb/3/3e/GowrieStationBuilding.jpg/100px-GowrieStationBuilding.jpg,['bus'],Upfield,14.73,9.15,2,16 October 1928,Fawkner,
83,Greensborough,//upload.wikimedia.org/wikipedia/commons/thumb/0/0e/GreensboroughBuildingPlatform1.JPG/100px-GreensboroughBuildingPlatform1.JPG,['bus'],Hurstbridge,23.07,14.34,2,5 June 1902,Greensborough,
84,Hallam,//upload.wikimedia.org/wikipedia/commons/thumb/6/64/Hallam_Westbound_View.jpg/100px-Hallam_Westbound_View.jpg,['bus'],Pakenham,37.45,23.27,2,1 December 1880,Hallam,Formerly Hallam's Road. Rebuilt in 2022
85,Hampton,//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Hampton_Railway_Station.jpg/100px-Hampton_Railway_Station.jpg,['bus'],Sandringham,17.70,11.00,2,2 September 1887,Hampton,"Formerly:
Retreat
Hampton"
86,Hartwell,//upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Hartwell_railway_station.jpg/100px-Hartwell_railway_station.jpg,[],Alamein,13.30,8.26,1,7 May 1906,Camberwell,Formerly Hartwell Hill
87,Hastings,//upload.wikimedia.org/wikipedia/commons/thumb/d/df/Hastings_railway_station_building_-_December_2021.jpg/100px-Hastings_railway_station_building_-_December_2021.jpg,['bus'],Stony Point,64.99,40.38,2,10 September 1889,Hastings,
88,Hawksburn,//upload.wikimedia.org/wikipedia/commons/thumb/7/77/Hawksburn_railway_station_-_Melbourne.jpg/100px-Hawksburn_railway_station_-_Melbourne.jpg,[],Frankston,6.63,4.12,1,7 May 1889,South Yarra,
